city,negative,neutral,positive
Salt Lake City,0.4528839187671825,0.26035090979279635,0.28676517144002117
Troy,0.4528839187671825,0.26035090979279635,0.28676517144002117
Chicago,0.6106761210179192,0.10295834646149103,0.2863655325205898
Denver,0.5964408701787679,0.13155625822402975,0.2720028715972023
Kent,0.5964408701787679,0.13155625822402975,0.2720028715972023
New York City,0.5964408701787679,0.13155625822402975,0.2720028715972023
Hoboken,0.5964408701787679,0.13155625822402975,0.2720028715972023
Brentwood,0.5964408701787679,0.13155625822402975,0.2720028715972023
Boise,0.5964408701787679,0.13155625822402975,0.2720028715972023
Jackson Heights,0.5964408701787679,0.13155625822402975,0.2720028715972023
Ossining,0.5964408701787679,0.13155625822402975,0.2720028715972023
Cicero,0.5964408701787679,0.13155625822402975,0.2720028715972023
Philadelphia,0.3881318472908097,0.3608073283987686,0.25106082431042165
San Francisco,0.4482913890020174,0.30198262677886345,0.2497259842191191
Austin,0.5187670479162853,0.2332695488250372,0.24796340325867747
Rancho Cucamonga,0.528004859546106,0.22525431265693704,0.246740827796957
Bensenville,0.6318898888797998,0.12264577018025188,0.24546434093994834
Winthrop,0.6013636773371108,0.15486388452399724,0.24377243813889188
Tempe Junction,0.6447367683598049,0.11916080809475012,0.23610242354544503
Franklin Park,0.6447367683598049,0.11916080809475012,0.23610242354544503
Town 'n' Country,0.6447367683598049,0.11916080809475012,0.23610242354544503
Golden,0.6447367683598049,0.11916080809475012,0.23610242354544503
Boston,0.5823331507099162,0.1997762460928238,0.21789060319725997
Morrisville,0.5823331507099162,0.1997762460928238,0.21789060319725997
Santa Monica,0.5889528196104451,0.1995199753530883,0.21152720503646658
Vancouver,0.6802426978515715,0.10962554358059741,0.2101317585678311
Nashville,0.6802426978515715,0.10962554358059741,0.2101317585678311
Brownsville,0.6233865622057894,0.1804669172791465,0.1961465205150641
Elizabeth,0.6233865622057894,0.1804669172791465,0.1961465205150641
Humble,0.6233865622057894,0.1804669172791465,0.1961465205150641
Atascocita,0.6432780897923461,0.165166984183094,0.19155492602455992
Aliso Viejo,0.6432780897923461,0.165166984183094,0.19155492602455992
Myrtle Grove,0.6432780897923461,0.165166984183094,0.19155492602455992
West Raleigh,0.6432780897923461,0.165166984183094,0.19155492602455992
Bridgeview,0.6432780897923461,0.165166984183094,0.19155492602455992
Grandview,0.6432780897923461,0.165166984183094,0.19155492602455992
Seven Oaks,0.6432780897923461,0.165166984183094,0.19155492602455992
South Jordan,0.6432780897923461,0.165166984183094,0.19155492602455992
Calgary,0.6432780897923461,0.165166984183094,0.19155492602455992
San Carlos Park,0.6432780897923461,0.165166984183094,0.19155492602455992
Parsippany,0.6432780897923461,0.165166984183094,0.19155492602455992
Jacksonville Beach,0.6432780897923461,0.165166984183094,0.19155492602455992
Elizabeth City,0.6432780897923461,0.165166984183094,0.19155492602455992
Williamsport,0.6432780897923461,0.165166984183094,0.19155492602455992
Fayetteville,0.6432780897923461,0.165166984183094,0.19155492602455992
East York,0.6432780897923461,0.165166984183094,0.19155492602455992
Cranberry Township,0.6432780897923461,0.165166984183094,0.19155492602455992
North Chicago,0.6432780897923461,0.165166984183094,0.19155492602455992
Islip,0.6432780897923461,0.165166984183094,0.19155492602455992
Summerlin South,0.6432780897923461,0.165166984183094,0.19155492602455992
Cottonwood Heights,0.6432780897923461,0.165166984183094,0.19155492602455992
Oak Ridge,0.6432780897923461,0.165166984183094,0.19155492602455992
Howard Beach,0.6432780897923461,0.165166984183094,0.19155492602455992
Wolverhampton,0.6432780897923461,0.165166984183094,0.19155492602455992
Tampa,0.6432780897923461,0.165166984183094,0.19155492602455992
Bonita Springs,0.6432780897923461,0.165166984183094,0.19155492602455992
Arbutus,0.6432780897923461,0.165166984183094,0.19155492602455992
Lake in the Hills,0.6432780897923461,0.165166984183094,0.19155492602455992
Winnipeg,0.6432780897923461,0.165166984183094,0.19155492602455992
Evanston,0.6432780897923461,0.165166984183094,0.19155492602455992
Conroe,0.6432780897923461,0.165166984183094,0.19155492602455992
Ashland,0.6432780897923461,0.165166984183094,0.19155492602455992
Roswell,0.6432780897923461,0.165166984183094,0.19155492602455992
Rutland,0.6432780897923461,0.165166984183094,0.19155492602455992
Zionsville,0.6432780897923461,0.165166984183094,0.19155492602455992
Okolona,0.6432780897923461,0.165166984183094,0.19155492602455992
Etobicoke,0.6432780897923461,0.165166984183094,0.19155492602455992
Canarsie,0.6432780897923461,0.165166984183094,0.19155492602455992
Jersey City,0.6432780897923461,0.165166984183094,0.19155492602455992
Sydney,0.6432780897923461,0.165166984183094,0.19155492602455992
Portland,0.6432780897923461,0.165166984183094,0.19155492602455992
Singapore,0.6432780897923461,0.165166984183094,0.19155492602455992
Haltom City,0.6432780897923461,0.165166984183094,0.19155492602455992
Dallas,0.7077052752110964,0.10197768099661225,0.19031704379229142
East Point,0.7077052752110964,0.10197768099661225,0.19031704379229142
Herriman,0.5317214411153308,0.2964526023737227,0.1718259565109464
Cary,0.5317214411153308,0.2964526023737227,0.1718259565109464
Ewing,0.5317214411153308,0.2964526023737227,0.1718259565109464
Richfield,0.5317214411153308,0.2964526023737227,0.1718259565109464
Queensbury,0.5317214411153308,0.2964526023737227,0.1718259565109464
Orange,0.5317214411153308,0.2964526023737227,0.1718259565109464
Ronkonkoma,0.5317214411153308,0.2964526023737227,0.1718259565109464
Santa Clara,0.5317214411153308,0.2964526023737227,0.1718259565109464
Burbank,0.5317214411153308,0.2964526023737227,0.1718259565109464
Whitestone,0.5317214411153308,0.2964526023737227,0.1718259565109464
Shanghai,0.5317214411153308,0.2964526023737227,0.1718259565109464
Camberwell,0.5317214411153308,0.2964526023737227,0.1718259565109464
Cartagena,0.5317214411153308,0.2964526023737227,0.1718259565109464
Tung Chung,0.5317214411153308,0.2964526023737227,0.1718259565109464
Liberty,0.5317214411153308,0.2964526023737227,0.1718259565109464
Harrison,0.5317214411153308,0.2964526023737227,0.1718259565109464
Culver City,0.5317214411153308,0.2964526023737227,0.1718259565109464
Potomac,0.5317214411153308,0.2964526023737227,0.1718259565109464
Salisbury,0.5317214411153308,0.2964526023737227,0.1718259565109464
Cypress,0.5317214411153308,0.2964526023737227,0.1718259565109464
Phra Pradaeng,0.5317214411153308,0.2964526023737227,0.1718259565109464
Waterford,0.5317214411153308,0.2964526023737227,0.1718259565109464
